objectid,filename,format,title,composer,work,date,nickname,genre,associated,holding,shelfmark,RISM,sourcetype,note
hps001,http://resolver.staatsbibliothek-berlin.de/SBB0001761D00000000,record,"Haydn, Joseph. Symphony in B-flat Major, Hob.I:102. 1794.","Haydn, Joseph, 1732-1809","Symphony in B-flat Major, Hob.I:102",1794,,symphony,"Salomon, John Peter, 1745-1815",Staatsbibliothek zu Berlin,"Mus.ms.autogr. Haydn, J. 39",https://rism.online/sources/464001330,autograph,
hps002,http://resolver.staatsbibliothek-berlin.de/SBB0002F45C00000000,record,"Haydn, Joseph. Symphony in D Major, Hob.I:104. 1795.","Haydn, Joseph, 1732-1809","Symphony in D Major, Hob.I:104",1795,London,symphony,"Salomon, John Peter, 1745-1815",Staatsbibliothek zu Berlin,"Mus.ms.autogr. Haydn, J. 40",https://rism.online/sources/1001015859,autograph,
hps003,http://resolver.staatsbibliothek-berlin.de/SBB0002F45D00000000,record,"Haydn, Joseph. Symphony in G Major, Hob.I:94. 1791.","Haydn, Joseph, 1732-1809","Symphony in G Major, Hob.I:94",1791,Surprise,symphony,"Salomon, John Peter, 1745-1815",Staatsbibliothek zu Berlin,"Mus.ms.autogr. Haydn, J. 48",https://rism.online/sources/1001146730,autograph,
hps004,https://gallica.bnf.fr/ark:/12148/btv1b7400098k,record,"Haydn, Joseph. Symphony in G Major, Hob.I:92. 1789.","Haydn, Joseph, 1732-1809","Symphony in G Major, Hob.I:92",1789,Oxford,symphony,"Rigoley, Claude-François-Marie, Count d'Ogny, 1756-1790","Bibliothèque nationale de France, Paris",RES VMA MS-852,https://rism.online/sources/840017297,autograph,
hps005,http://resolver.staatsbibliothek-berlin.de/SBB00021BDA00000000,record,"Haydn, Joseph. Symphony in A Major, Hob.I:28 (excerpts). 1765.","Haydn, Joseph, 1732-1809","Symphony in A Major, Hob.I:28",1765,,symphony,,Staatsbibliothek zu Berlin,"Mus.ms.autogr. Haydn, J. 17",https://rism.online/sources/1001032441,autograph,
hps006,http://resolver.staatsbibliothek-berlin.de/SBB00021BDF00000000,record,"Haydn, Joseph. Symphony in C Major, Hob.I:56. 1774.","Haydn, Joseph, 1732-1809","Symphony in C Major, Hob.I:56",1774,,symphony,,Staatsbibliothek zu Berlin,"Mus.ms.autogr. Haydn, J. 42",https://rism.online/sources/1001032448,autograph,
hps007,https://gallica.bnf.fr/ark:/12148/btv1b7400145s,record,"Haydn, Joseph. Symphony in C Major, Hob.I:82. 1786.","Haydn, Joseph, 1732-1809","Symphony in C Major, Hob.I:82",1786,The Bear,symphony,"Rigoley, Claude-François-Marie, Count d'Ogny, 1756-1790; Saint-Georges, Joseph Bologne, chevalier de, 1745-1799","Bibliothèque nationale de France, Paris",MS-137,https://rism.online/sources/840017229,autograph,
hps008,https://www.themorgan.org/music/manuscript/115076,record,"Haydn, Joseph. Symphony in E-flat Major, Hob.I:91. 1788.","Haydn, Joseph, 1732-1809","Symphony in E-flat Major, Hob.I:91",1788,,symphony,"Rigoley, Claude-François-Marie, Count d'Ogny, 1756-1790","Morgan Library and Museum, New York City",Cary 50 (Record ID: 115076),https://rism.online/sources/900022101,autograph,
hps009,http://resolver.staatsbibliothek-berlin.de/SBB00024A2300000000,record,"Haydn, Joseph. Symphony in E-flat Major, Hob.I:55. 1774.","Haydn, Joseph, 1732-1809","Symphony in E-flat Major, Hob.I:55",1774,The Schoolmaster,symphony,,Staatsbibliothek zu Berlin,"Mus.ms.autogr. Haydn, J. 36",https://rism.online/sources/1001052024,autograph,
hps010,https://gallica.bnf.fr/ark:/12148/btv1b7400084j,record,"Haydn, Joseph. Symphony in in D Major, Hob.I:86. 1786.","Haydn, Joseph, 1732-1809","Symphony in D Major, Hob.I:86",1786,,symphony,"Rigoley, Claude-François-Marie, Count d'Ogny, 1756-1790","Bibliothèque nationale de France, Paris",RES VM7-541 (3),https://rism.online/sources/840017296,autograph,
